date, pm25, pm10, o3, no2, so2, co
2019/6/23, 117, 62, 109, 16, 2, 7
2019/6/24, 106, 75, 126, 13, 7, 7
2019/6/25, 127, 64, 130, 10, 3, 6
2019/6/26, 119, 66, 129, 10, 3, 7
2019/6/27, 139, 36, 87, 6, , 5
2019/6/28, 82, 37, 46, 8, 2, 7
2019/6/29, 76, 17, 37, 5, 1, 6
2019/6/30, 25, 29, 48, 11, 1, 4
2019/1/1, 97, 52, 9, 26, 5, 11
2019/1/2, 111, 92, 5, 43, 13, 22
2019/1/3, 200, 39, 27, 11, 2, 8
2019/1/4, 57, 24, 23, 15, 1, 4
2019/1/5, 45, 69, 6, 34, 6, 13
2019/1/6, 143, 44, 25, 19, 4, 9
2019/1/7, 80, 25, 28, 11, 1, 4
2019/1/8, 34, 50, 14, 25, 5, 6
2019/1/9, 112, 81, 7, 37, 8, 12
2019/1/10, 165, 88, 10, 38, 8, 14
2019/1/11, 180, 184, 7, 53, 10, 24
2019/1/12, 275, 222, 28, 32, 4, 16
2019/1/13, 183, 117, 14, 42, 5, 19
2019/1/14, 191, 57, 15, 6, 2, 5
2019/1/15, 34, 60, 14, 25, 6, 8
2019/1/16, 111, 57, 13, 27, 6, 9
2019/1/17, 121, 74, 7, 33, 8, 13
2019/1/18, 155, 27, 26, 10, 1, 3
2019/1/19, 44, 22, 29, 7, 1, 3
2019/1/20, 41, 43, 23, 21, 2, 6
2019/1/21, 78, 54, 22, 25, 3, 9
2019/1/22, 83, 39, 20, 22, 2, 6
2019/1/23, 80, 66, 14, 26, 8, 13
2019/1/24, 159, 34, 25, 10, 2, 5
2019/1/25, 47, 31, 9, 15, 2, 6
2019/1/26, 64, 82, 27, 24, 6, 11
2019/1/27, 124, 47, 23, 15, 3, 7
2019/1/28, 78, 100, 9, 37, 10, 16
2019/1/29, 182, 68, 24, 12, 4, 9
2019/1/30, 75, 24, 28, 8, 3, 5
2019/1/31, 33, 71, 26, 24, 4, 8
2019/2/1, 95, 97, 10, 30, 5, 12
2019/2/2, 156, 111, 39, 7, 1, 3
2019/2/3, 80, 79, 29, 13, 3, 8
2019/2/4, 96, 144, 22, 12, 5, 5
2019/2/5, 155, 80, 26, 10, 8, 8
2019/2/6, 120, 30, 36, 5, 2, 2
2019/2/7, 28, 41, 29, 9, 3, 3
2019/2/8, 62, 20, 27, 6, 2, 3
2019/2/9, 27, 30, 20, 11, 4, 4
2019/2/10, 66, 46, 28, 16, 6, 6
2019/2/11, 93, 48, 22, 13, 5, 6
2019/2/12, 73, 34, 29, 12, 2, 4
2019/2/13, 58, 49, 19, 15, 4, 7
2019/2/14, 115, 21, 28, 5, 2, 2
2019/2/15, 29, 19, 29, 5, 2, 2
2019/2/16, 24, 19, 27, 9, 1, 3
2019/2/17, 38, 40, 17, 22, 3, 6
2019/2/18, 87, 83, 29, 17, 2, 9
2019/2/19, 166, 22, 32, 12, 1, 5
2019/2/20, 88, 52, 39, 22, 2, 9
2019/2/21, 159, 67, 27, 29, 3, 12
2019/2/22, 179, , 46, 35, 5, 16
2019/2/23, 216, 29, 35, 26, 3, 9
2019/2/24, 147, 59, 30, 23, 5, 8
2019/2/25, 108, 60, 27, 26, 5, 7
2019/2/26, 127, 72, 35, 27, 5, 9
2019/2/27, 168, 77, 37, 24, 4, 9
2019/2/28, 161, 83, 36, 28, 4, 10
2019/3/1, 191, 106, 57, 30, 5, 13
2019/3/2, 246, 100, 39, 28, 6, 13
2019/3/3, 214, 78, 35, 25, 4, 10
2019/3/4, 167, 70, 38, 21, 3, 9
2019/3/5, 139, 15, 33, 7, 1, 4
2019/3/6, 27, 28, 34, 16, 2, 4
2019/3/7, 64, 72, 37, 27, 5, 7
2019/3/8, 147, 82, 26, 31, 5, 8
2019/3/9, 165, , 28, 29, 3, 10
2019/3/10, 181, 37, 38, 13, 1, 6
2019/3/11, 56, 24, 34, 4, 1, 4
2019/3/12, 18, 24, 30, 10, 1, 4
2019/3/13, 28, 30, 29, 11, 1, 3
2019/3/14, 28, 46, 28, 5, 1, 2
2019/3/15, 36, 52, 28, 18, 2, 4
2019/3/16, 76, 65, 40, 21, 4, 7
2019/3/17, 124, 96, 47, 34, 6, 9
2019/3/18, 174, 107, 52, 40, 6, 11
2019/3/19, 191, 72, 29, 16, 4, 8
2019/3/20, 148, 30, 32, 1, 1, 4
2019/3/21, 27, 26, 31, 6, 1, 2
2019/3/22, 27, 29, 29, 5, 1, 2
2019/3/23, 38, 65, 30, 18, 3, 4
2019/3/24, 106, 48, 36, 19, 2, 5
2019/3/25, 85, 79, 31, 21, 4, 7
2019/3/26, 113, 85, 27, 25, 4, 9
2019/3/27, 140, 54, 21, 12, 3, 5
2019/3/28, 70, 66, 28, 13, 2, 3
2019/3/29, 64, 26, 29, 3, 1, 3
2019/3/30, 17, 27, 30, 11, , 4
2019/3/31, 39, 32, 31, 13, 1, 4
2018/10/1, 31, 28, 36, 15, , 4
2018/10/2, 43, 33, 33, 19, 1, 5
2018/10/3, 51, 61, 61, 24, 6, 10
2018/10/4, 121, 74, 57, 24, 4, 10
2018/10/5, 165, 20, 28, 6, 1, 4
2018/10/6, 27, 29, 28, 15, 1, 3
2018/10/7, 40, 35, 31, 16, 1, 4
2018/10/8, 40, 14, 22, 4, 1, 2
2018/10/9, 12, 19, 22, 9, 1, 3
2018/10/10, 20, 28, 25, 14, 1, 3
2018/10/11, 32, 61, 31, 26, 2, 5
2018/10/12, 105, 80, 36, 36, 3, 9
2018/10/13, 166, 110, 44, 40, 3, 12
2018/10/14, 201, 120, 22, 36, 5, 14
2018/10/15, 208, 51, 31, 15, 2, 8
2018/10/16, 140, 40, 27, 20, 1, 7
2018/10/17, 90, 48, 27, 24, 1, 5
2018/10/18, 95, 47, 30, 28, 1, 6
2018/10/19, 115, 63, 33, 34, 4, 7
2018/10/20, 154, 90, 19, 42, 5, 12
2018/10/21, 187, 85, 30, 30, 4, 12
2018/10/22, 192, 33, 24, 12, 1, 3
2018/10/23, 47, 75, 15, 35, 2, 8
2018/10/24, 128, 96, 8, 42, 6, 16
2018/10/25, 165, 48, 22, 3, 2, 3
2018/10/26, 24, 33, 26, 10, 2, 3
2018/10/27, 42, 37, 31, 4, 1, 2
2018/10/28, 28, 22, 25, 8, 2, 3
2018/10/29, 28, 30, 28, 16, 1, 4
2018/10/30, 42, 47, 18, 21, 3, 7
2018/10/31, 83, 60, 26, 27, 3, 8
2018/11/1, 116, 96, 8, 49, 5, 15
2018/11/2, 194, 106, 37, 44, 7, 15
2018/11/3, 213, 47, 8, 25, 2, 8
2018/11/4, 119, 30, 11, 17, 1, 5
2018/11/5, 64, 28, 14, 19, 1, 4
2018/11/6, 49, 47, 6, 25, 1, 6
2018/11/7, 83, 75, 4, 34, 5, 11
2018/11/8, 159, 50, 25, 18, 2, 7
2018/11/9, 81, 33, 15, 16, 1, 4
2018/11/10, 40, 61, 25, 23, 3, 5
2018/11/11, 117, 78, 15, 32, 4, 10
2018/11/12, 178, 107, 15, 36, 4, 16
2018/11/13, 241, , 17, 34, 1, 18
2018/11/14, 271, 18, 22, 15, 1, 8
2018/11/15, 100, 24, 24, 11, 1, 4
2018/11/16, 40, 58, 11, 20, 3, 8
2018/11/17, 115, 62, 27, 19, 2, 7
2018/11/18, 94, 71, 6, 33, 5, 10
2018/11/19, 118, 66, 23, 25, 3, 7
2018/11/20, 109, 45, 23, 16, 2, 5
2018/11/21, 71, 46, 12, 26, 2, 6
2018/11/22, 86, 72, 3, 32, 9, 12
2018/11/23, 159, 74, 20, 28, 6, 10
2018/11/24, 163, 81, 10, 35, 5, 12
2018/11/25, 178, 120, 5, 57, 8, 22
2018/11/26, 306, 214, 26, 14, 2, 5
2018/11/27, 132, 122, 3, 35, 10, 14
2018/11/28, 161, 96, 6, 30, 8, 14
2018/11/29, 145, 121, 6, 39, 5, 17
2018/11/30, 177, 129, 16, 37, 3, 16
2018/12/1, 205, 138, 1, 39, 4, 22
2018/12/2, 239, 186, 25, 9, 2, 6
2018/12/3, 132, 55, 25, 9, 1, 3
2018/12/4, 51, 79, 1, 29, 5, 10
2018/12/5, 122, 37, 22, 7, 1, 4
2018/12/6, 38, 32, 24, 5, 1, 3
2018/12/7, 24, 32, 24, 9, 1, 3
2018/12/8, 33, 58, 10, 27, 6, 6
2018/12/9, 112, 65, 6, 31, 6, 9
2018/12/10, 146, 52, 20, 16, 4, 5
2018/12/11, 70, 48, 13, 25, 3, 6
2018/12/12, 91, 33, 22, 17, 2, 3
2018/12/13, 46, 50, 10, 29, 4, 7
2018/12/14, 114, 80, 4, 39, 6, 12
2018/12/15, 168, 77, 27, 29, 4, 12
2018/12/16, 128, 44, 27, 17, 2, 5
2018/12/17, 71, 50, 20, 25, 3, 7
2018/12/18, 88, 54, 8, 31, 3, 8
2018/12/19, 97, 69, 3, 36, 5, 10
2018/12/20, 124, 82, 17, 32, 6, 11
2018/12/21, 145, 64, 25, 21, 3, 7
2018/12/22, 91, 50, 25, 7, 1, 4
2018/12/23, 39, 71, 7, 29, 5, 8
2018/12/24, 130, 61, 22, 18, 4, 9
2018/12/25, 84, 19, 16, 12, 1, 6
2018/12/26, 49, 52, 19, 5, 1, 4
2018/12/27, 34, 39, 17, 9, , 6
2018/12/28, 35, 25, 17, 11, 1, 6
2018/12/29, 34, 25, 11, 17, , 6
2018/12/30, 44, , , , , 
2018/7/1, 124, 51, 87, 13, 1, 6
2018/7/2, 117, 54, 93, 16, 1, 7
2018/7/3, 138, 65, 120, 17, , 6
2018/7/4, 139, 90, 112, 21, 1, 10
2018/7/5, 151, 49, 117, 12, 2, 10
2018/7/6, 101, 49, 29, 13, 1, 9
2018/7/7, 135, 57, 81, 12, 1, 9
2018/7/8, 141, 72, 34, 13, 1, 10
2018/7/9, 150, 36, 42, 10, 1, 7
2018/7/10, 93, 41, 31, 18, 1, 8
2018/7/11, 89, 40, 29, 16, 1, 15
2018/7/12, 122, 37, 43, 20, 1, 7
2018/7/13, 120, 47, 84, 10, , 4
2018/7/14, 138, 56, 83, 13, 1, 7
2018/7/15, 155, 31, 31, 13, 1, 5
2018/7/16, 96, 16, 22, 13, , 6
2018/7/17, 47, 226, 38, 15, , 12
2018/7/18, 149, 52, 13, 18, 1, 9
2018/7/19, 157, 62, 55, 10, 1, 8
2018/7/20, 147, 62, 93, 8, 1, 6
2018/7/21, 143, 51, 46, 14, 1, 8
2018/7/22, 115, 53, 73, 12, 1, 8
2018/7/23, 137, 42, 27, 10, 1, 5
2018/7/24, 78, 21, 40, 8, 2, 4
2018/7/25, 68, 30, 74, 13, 1, 6
2018/7/26, 56, 62, 64, 12, 1, 10
2018/7/27, 136, 60, 84, 10, , 9
2018/7/28, 145, 72, 92, 11, 1, 11
2018/7/29, 166, 70, 89, 12, 1, 10
2018/7/30, 165, 73, 105, 15, 2, 9
2018/7/31, 159, 73, 122, 13, 1, 9
2018/8/1, 159, 86, 95, 11, 6, 15
2018/8/2, 181, 69, 63, 18, 1, 10
2018/8/3, 153, 75, 122, 19, 9, 11
2018/8/4, 159, 53, 62, 13, 2, 5
2018/8/5, 105, 51, 24, 18, 9, 13
2018/8/6, 103, 57, 73, 17, 1, 10
2018/8/7, 133, 23, 34, 13, 1, 8
2018/8/8, 79, 28, 64, 18, 1, 10
2018/8/9, 79, 50, 104, 7, 1, 10
2018/8/10, 96, 54, 69, 6, 1, 11
2018/8/11, 121, 54, 52, 6, 1, 11
2018/8/12, 146, 59, 69, 6, 1, 9
2018/8/13, 119, 23, 30, 8, 1, 7
2018/8/14, 86, 28, 40, 14, 1, 5
2018/8/15, 50, 30, 75, 11, 1, 2
2018/8/16, 49, 58, 116, 19, 1, 4
2018/8/17, 100, 31, 50, 11, 2, 5
2018/8/18, 53, 36, 32, 16, 2, 6
2018/8/19, 64, 40, 70, 10, 1, 7
2018/8/20, 77, 28, 49, 12, 1, 3
2018/8/21, 39, 55, 38, 24, 1, 6
2018/8/22, 68, 41, 65, 18, 1, 5
2018/8/23, 55, 34, 51, 14, 1, 4
2018/8/24, 45, 55, 104, 15, 2, 6
2018/8/25, 83, 71, 100, 14, 2, 8
2018/8/26, 140, 68, 100, 14, 3, 9
2018/8/27, 133, 63, 93, 18, 2, 9
2018/8/28, 140, 21, 50, 10, 1, 3
2018/8/29, 38, 45, 44, 15, 2, 6
2018/8/30, 61, 30, 79, 14, 1, 5
2018/8/31, 54, 46, 72, 15, 2, 8
2018/9/1, 112, 46, 61, 9, 1, 7
2018/9/2, 110, 17, 37, 9, 1, 5
2018/9/3, 86, 19, 40, 10, 1, 3
2018/9/4, 30, 31, 52, 13, 1, 3
2018/9/5, 40, 34, 33, 8, 1, 3
2018/9/6, 34, 14, 29, 8, 1, 2
2018/9/7, 22, 26, 36, 14, 1, 2
2018/9/8, 27, 54, 59, 20, 2, 4
2018/9/9, 74, 63, 61, 26, 4, 9
2018/9/10, 118, 61, 63, 18, 4, 6
2018/9/11, 114, 59, 72, 16, 3, 6
2018/9/12, 117, 76, 88, 25, 3, 8
2018/9/13, 162, 87, 80, 25, 4, 9
2018/9/14, 172, 25, 29, 8, 1, 3
2018/9/15, 47, 25, 36, 14, 2, 2
2018/9/16, 29, 37, 31, 18, 1, 3
2018/9/17, 43, 50, 26, 22, 1, 5
2018/9/18, 68, 58, 14, 31, 2, 6
2018/9/19, 92, 60, 42, 24, 3, 6
2018/9/20, 121, 44, 26, 12, 1, 4
2018/9/21, 48, 25, 28, 6, , 2
2018/9/22, 16, 24, 25, 8, , 3
2018/9/23, 17, 23, 29, 12, , 3
2018/9/24, 25, 47, 38, 15, 2, 5
2018/9/25, 70, 52, 36, 20, 2, 5
2018/9/26, 95, 71, 30, 32, 4, 8
2018/9/27, 147, 36, 34, 19, 1, 7
2018/9/28, 133, 14, 17, 12, 1, 3
2018/9/29, 27, 16, , 7, 1, 3
2018/9/30, 14, 20, 33, 5, 1, 
2018/4/1, 242, 155, 69, 34, 5, 16
2018/4/2, 276, 105, 34, 8, 2, 3
2018/4/3, 49, 25, 25, 15, 1, 4
2018/4/4, 67, 156, 21, 11, 1, 6
2018/4/5, 124, 87, 36, 2, 2, 1
2018/4/6, 58, 41, 40, 9, 4, 2
2018/4/7, 60, 69, 38, 21, 3, 4
2018/4/8, 116, 87, 51, 26, 12, 12
2018/4/9, 163, 86, 37, 16, 9, 10
2018/4/10, 100, 44, 47, 13, 3, 3
2018/4/11, 68, 77, 40, 21, 6, 6
2018/4/12, 114, 60, 26, 25, 9, 11
2018/4/13, 111, 170, 41, 5, 1, 2
2018/4/14, 81, 70, 45, 12, 4, 2
2018/4/15, 72, 112, 77, 21, 6, 6
2018/4/16, 164, 135, 72, 18, 6, 9
2018/4/17, 175, 133, 89, 21, 6, 8
2018/4/18, 179, 121, 106, 26, 6, 9
2018/4/19, 189, 99, 112, 19, 8, 13
2018/4/20, 188, 54, 33, 19, 3, 8
2018/4/21, 140, 22, 30, 9, , 3
2018/4/22, 35, 28, 41, 12, , 2
2018/4/23, 53, 36, 50, 17, , 3
2018/4/24, 65, 51, 66, 20, 2, 3
2018/4/25, 93, 82, 81, 26, 5, 6
2018/4/26, 177, 114, 66, 16, 3, 5
2018/4/27, 116, 112, 109, 25, 5, 7
2018/4/28, 166, 113, 85, 29, 6, 10
2018/4/29, 214, 50, 50, 10, 2, 5
2018/4/30, 91, 143, 33, 15, 1, 4
2018/5/1, 120, 45, 42, 11, , 2
2018/5/2, 74, 42, 43, 14, , 1
2018/5/3, 65, 75, 78, 25, 4, 5
2018/5/4, 146, 152, 38, 22, 4, 4
2018/5/5, 181, 108, 69, 18, 2, 4
2018/5/6, 153, 83, 76, 20, 4, 7
2018/5/7, 142, 50, 70, 16, 1, 4
2018/5/8, 90, 60, 91, 22, 3, 4
2018/5/9, 131, 70, 99, 32, 9, 10
2018/5/10, 171, 55, 52, 23, 4, 7
2018/5/11, 156, 55, 79, 21, 3, 13
2018/5/12, 197, 58, 94, 21, 1, 5
2018/5/13, 127, 80, 127, 21, 4, 11
2018/5/14, 185, 69, 63, 19, 3, 9
2018/5/15, 150, 81, 89, 16, 3, 16
2018/5/16, 180, 52, 38, 14, 2, 10
2018/5/17, 122, 49, 73, 15, 3, 5
2018/5/18, 82, 65, 89, 21, 3, 7
2018/5/19, 107, 45, 51, 15, 6, 9
2018/5/20, 109, 51, 26, 20, 1, 8
2018/5/21, 147, 165, 39, 10, , 4
2018/5/22, 121, 188, 67, 19, 2, 4
2018/5/23, 144, 103, 99, 26, 4, 7
2018/5/24, 141, 95, 109, 18, 5, 6
2018/5/25, 144, 119, 69, 17, 2, 7
2018/5/26, 180, 96, 59, 12, 2, 3
2018/5/27, 138, 314, 38, 9, 1, 2
2018/5/28, 142, 44, 29, 16, 1, 2
2018/5/29, 50, 41, 74, 17, 1, 3
2018/5/30, 54, 68, 109, 21, 4, 6
2018/5/31, 95, 64, 95, 22, 2, 5
2018/6/1, 90, 87, 137, 24, 6, 7
2018/6/2, 136, 92, 66, 16, 3, 5
2018/6/3, 134, 76, 78, 17, 1, 4
2018/6/4, 98, 94, 109, 19, 4, 5
2018/6/5, 119, 110, 128, 19, 5, 6
2018/6/6, 135, 56, 72, 12, 1, 4
2018/6/7, 73, 43, 63, 16, 2, 4
2018/6/8, 57, 40, 36, 13, 1, 5
2018/6/9, 64, 45, 76, 10, 1, 6
2018/6/10, 106, 58, 70, 11, 1, 6
2018/6/11, 151, 77, 95, 25, 1, 6
2018/6/12, 166, 44, 43, 15, 2, 9
2018/6/13, 117, 40, 92, 20, 2, 6
2018/6/14, 82, 60, 99, 13, 3, 12
2018/6/15, 147, 79, 103, 13, 1, 8
2018/6/16, 159, 64, 77, 13, 1, 7
2018/6/17, 119, 66, 99, 16, 1, 8
2018/6/18, 152, 70, 87, 12, 1, 9
2018/6/19, 117, 51, 72, 15, 1, 5
2018/6/20, 104, 61, 116, 17, 4, 7
2018/6/21, 84, 74, 74, 23, 5, 11
2018/6/22, 144, 68, 143, 15, 2, 7
2018/6/23, 147, 73, 129, 11, 1, 5
2018/6/24, 145, 85, 100, 22, 3, 10
2018/6/25, 153, 75, 118, 24, 1, 15
2018/6/26, 185, 50, 39, 18, 1, 5
2018/6/27, 85, 26, 51, 11, 1, 2
2018/6/28, 49, 60, 78, 24, 1, 4
2018/6/29, 78, 66, 127, 19, 3, 9
2018/6/30, 98, 50, 83, 16, 2, 9
2018/1/1, 98, 42, 21, 15, 4, 11
2018/1/2, 84, 27, 23, 7, 2, 7
2018/1/3, 43, 26, 18, 15, 2, 7
2018/1/4, 50, 52, 14, 28, 6, 10
2018/1/5, 101, 24, 19, 19, 2, 5
2018/1/6, 50, 51, 19, 25, 6, 8
2018/1/7, 117, 53, 24, 7, 2, 3
2018/1/8, 50, 33, 25, 7, 1, 4
2018/1/9, 30, 21, 25, 6, 1, 3
2018/1/10, 29, 18, 23, 12, 2, 4
2018/1/11, 36, 67, 8, 35, 7, 11
2018/1/12, 137, 83, 6, 40, 8, 15
2018/1/13, 167, 87, 19, 38, 8, 15
2018/1/14, 193, 47, 18, 25, 5, 8
2018/1/15, 90, 121, 22, 21, 2, 6
2018/1/16, 122, 78, 25, 25, 6, 10
2018/1/17, 118, 79, 6, 37, 7, 12
2018/1/18, 120, 97, 15, 44, 11, 20
2018/1/19, 173, 59, 12, 27, 5, 9
2018/1/20, 93, 60, 10, 22, 11, 13
2018/1/21, 104, 42, 26, 13, 4, 6
2018/1/22, 74, 28, 24, 7, 2, 4
2018/1/23, 37, 27, 25, 15, 3, 4
2018/1/24, 54, 18, 22, 13, 2, 3
2018/1/25, 34, 34, 15, 17, 3, 2
2018/1/26, 77, 73, 4, 29, 8, 11
2018/1/27, 167, 44, 28, 7, 2, 3
2018/1/28, 40, 49, 31, 9, 1, 3
2018/1/29, 35, 31, 29, 12, 2, 3
2018/1/30, 44, 60, 28, 12, 3, 3
2018/1/31, 67, 64, 25, 20, 6, 6
2018/2/1, 97, 31, 28, 8, 3, 5
2018/2/2, 35, 18, 23, 13, 2, 3
2018/2/3, 32, 34, 18, 18, 3, 3
2018/2/4, 65, 19, 27, 11, 1, 1
2018/2/5, 28, 42, 21, 24, 6, 5
2018/2/6, 101, 50, 32, 19, 5, 6
2018/2/7, 79, 62, 21, 26, 7, 8
2018/2/8, 118, 85, 32, 17, 6, 7
2018/2/9, 102, 39, 32, 5, 2, 5
2018/2/10, 41, 70, 30, 2, , 3
2018/2/11, 36, 49, 31, 4, 1, 3
2018/2/12, 37, 69, 18, 31, 8, 11
2018/2/13, 149, 31, 31, 9, 2, 2
2018/2/14, 42, 47, 35, 10, 6, 3
2018/2/15, 99, 72, 37, 13, 10, 6
2018/2/16, 139, 65, 21, 15, 7, 11
2018/2/17, 162, 79, 32, 21, 9, 16
2018/2/18, 183, 103, 26, 19, 15, 19
2018/2/19, 197, 44, 37, 10, 5, 6
2018/2/20, 108, 38, 35, 14, 2, 4
2018/2/21, 104, 39, 30, 14, 4, 2
2018/2/22, 56, 47, 28, 17, 3, 5
2018/2/23, 80, 57, 26, 8, 5, 5
2018/2/24, 84, 55, 27, 17, 6, 7
2018/2/25, 134, 92, 33, 34, 12, 15
2018/2/26, 188, 112, 29, 28, 8, 19
2018/2/27, 228, 88, 30, 18, 5, 9
2018/2/28, 158, 41, 33, 7, 3, 5
2018/3/1, 54, 73, 29, 23, 11, 11
2018/3/2, 160, 122, 21, 39, 14, 22
2018/3/3, 229, 127, 21, 18, 5, 11
2018/3/4, 139, 85, 30, 19, 6, 11
2018/3/5, 135, 52, 28, 16, 7, 11
2018/3/6, 126, 53, 19, 21, 6, 10
2018/3/7, 120, 46, 29, 16, 4, 10
2018/3/8, 107, 84, 29, 29, 9, 14
2018/3/9, 180, 73, 41, 30, 10, 14
2018/3/10, 185, 66, 25, 20, 10, 14
2018/3/11, 149, 102, 36, 32, 5, 15
2018/3/12, 212, , 61, 47, 6, 21
2018/3/13, 308, , 27, 38, 10, 24
2018/3/14, 272, 36, 36, 7, 3, 5
2018/3/15, 65, 46, 34, 10, 3, 4
2018/3/16, 89, 50, 12, 28, 3, 9
2018/3/17, 135, 84, 33, 26, 2, 11
2018/3/18, 175, 32, 36, 21, 2, 7
2018/3/19, 142, 43, 31, 13, 2, 3
2018/3/20, 78, 62, 29, 22, 4, 7
2018/3/21, 144, 70, 35, 29, 4, 9
2018/3/22, 164, 91, 22, 44, 7, 14
2018/3/23, 187, 66, 49, 35, 7, 13
2018/3/24, 185, 67, 59, 27, 3, 6
2018/3/25, 148, 96, 67, 37, 7, 11
2018/3/26, 190, 131, 48, 61, 7, 14
2018/3/27, 251, 658, 32, 29, 3, 9
2018/3/28, 208, 109, 31, 21, 9, 8
2018/3/29, 113, 67, 45, 24, 6, 5
2018/3/30, 108, 107, 55, 39, 8, 10
2018/3/31, 180, 136, 103, 42, 9, 16
2017/10/1, 135, 37, 12, 17, 2, 4
2017/10/2, 57, 47, 20, 16, 1, 4
2017/10/3, 64, 54, 27, 18, 2, 4
2017/10/4, 93, 63, 36, 17, 4, 6
2017/10/5, 140, 67, 36, 21, 3, 7
2017/10/6, 151, 92, 1, 38, 2, 11
2017/10/7, 181, 102, 2, 34, , 11
2017/10/8, 189, , 13, 16, , 7
2017/10/9, 98, 12, 14, 9, , 2
2017/10/10, 29, 24, 16, 15, 1, 4
2017/10/11, 52, 37, 14, 19, 1, 4
2017/10/12, 66, 59, 19, 27, 2, 9
2017/10/13, 107, 38, 7, 23, 3, 5
2017/10/14, 60, 53, 14, 22, 3, 11
2017/10/15, 116, 55, 23, 21, 2, 8
2017/10/16, 99, 70, 18, 26, 4, 11
2017/10/17, 152, 16, 17, 24, 4, 10
2017/10/18, 147, , 21, 19, 3, 11
2017/10/19, 156, 76, 19, 24, 2, 13
2017/10/20, 183, 64, 17, 22, 2, 12
2017/10/21, 141, 55, 10, 22, 4, 9
2017/10/22, 114, 45, 18, 17, 2, 6
2017/10/23, 105, 63, 27, 22, 2, 8
2017/10/24, 154, 76, 10, 30, 1, 11
2017/10/25, 186, 127, 7, 37, 1, 14
2017/10/26, 221, , 17, 32, 1, 14
2017/10/27, 250, 34, 20, 11, 1, 4
2017/10/28, 85, 24, 20, 11, , 4
2017/10/29, 33, 36, 16, 21, 1, 4
2017/10/30, 63, 83, 1, 36, 3, 10
2017/10/31, 140, 81, 9, 38, 2, 9
2017/11/1, 151, 72, 20, 28, 5, 9
2017/11/2, 122, 26, 19, 14, 1, 1
2017/11/3, 38, 57, 17, 26, 3, 6
2017/11/4, 104, 91, 12, 34, 4, 11
2017/11/5, 177, 111, 17, 38, 3, 14
2017/11/6, 207, 74, 25, 23, 2, 8
2017/11/7, 139, 40, 9, 24, 5, 7
2017/11/8, 63, 75, 5, 32, 4, 12
2017/11/9, 134, 40, 21, 7, 1, 3
2017/11/10, 33, 30, 12, 16, 3, 2
2017/11/11, 49, 78, 3, 33, 3, 9
2017/11/12, 144, 65, 23, 16, 2, 5
2017/11/13, 77, 28, 23, 11, 1, 3
2017/11/14, 36, 37, 17, 20, 1, 4
2017/11/15, 55, 75, 6, 37, 6, 13
2017/11/16, 146, 58, 22, 16, 3, 7
2017/11/17, 69, 45, 22, 14, 3, 5
2017/11/18, 87, 87, 4, 35, 5, 12
2017/11/19, 168, 97, 9, 40, 7, 17
2017/11/20, 181, 118, 23, 45, 8, 18
2017/11/21, 189, 35, 17, 9, 1, 3
2017/11/22, 35, 23, 18, 7, 1, 2
2017/11/23, 28, 39, 18, 13, 3, 5
2017/11/24, 67, 63, 5, 31, 3, 11
2017/11/25, 115, 27, 21, 11, 1, 3
2017/11/26, 41, 73, 2, 33, 5, 12
2017/11/27, 155, 67, 22, 19, 4, 10
2017/11/28, 96, 33, 13, 16, 2, 4
2017/11/29, 48, 43, 21, 19, 3, 5
2017/11/30, 75, 84, 8, 34, 7, 12
2017/12/1, 164, 126, 1, 53, 12, 21
2017/12/2, 219, 57, 24, 20, 3, 10
2017/12/3, 97, 23, 22, 7, 1, 2
2017/12/4, 22, 43, 15, 20, 3, 5
2017/12/5, 72, 50, 22, 21, 4, 7
2017/12/6, 86, 25, 53, 8, 2, 2
2017/12/7, 35, 46, 10, 22, 3, 6
2017/12/8, 78, 60, 14, 31, 4, 10
2017/12/9, 103, 52, 25, 7, 1, 2
2017/12/10, 36, 21, 23, 9, 1, 2
2017/12/11, 30, 26, 11, 16, 2, 4
2017/12/12, 45, 49, 6, 26, 3, 6
2017/12/13, 94, 70, 5, 30, 11, 16
2017/12/14, 157, 50, 19, 16, 4, 7
2017/12/15, 79, 45, 17, 5, 1, 2
2017/12/16, 32, 50, 18, 24, 2, 6
2017/12/17, 82, 47, 26, 9, 1, 2
2017/12/18, 43, 59, 14, 22, 5, 6
2017/12/19, 95, 41, 26, 19, 2, 6
2017/12/20, 63, 65, 7, 37, 7, 10
2017/12/21, 121, 59, 23, 31, 8, 11
2017/12/22, 102, 51, 8, 32, 8, 9
2017/12/23, 99, 51, 29, 9, 3, 3
2017/12/24, 56, 47, 20, 21, 6, 5
2017/12/25, 91, 34, 20, 21, 4, 5
2017/12/26, 69, 67, 6, 35, 9, 13
2017/12/27, 159, 85, 23, 37, 9, 16
2017/12/28, 183, 120, 25, 46, 4, 28
2017/12/29, 243, 58, 20, 33, 2, 20
2017/12/30, 173, 56, 15, 21, 3, 9
2017/12/31, 96, 51, 16, 20, 7, 13
2017/7/1, 166, 83, 111, 13, 2, 10
2017/7/2, 155, 58, 83, 12, 1, 8
2017/7/3, 139, 58, 60, 17, 4, 8
2017/7/4, 124, 77, 87, 16, 1, 10
2017/7/5, 164, 74, 32, 16, 2, 14
2017/7/6, 141, 47, 76, 9, 1, 7
2017/7/7, 100, 52, 112, 14, 1, 6
2017/7/8, 103, 75, 123, 15, , 10
